epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.556,1.95856,4.79185,3.29963,1.94376,0.41611,0.14766,0.17608,0.12763,0.36041,0.1254,0.15838,0.07308,1.65509,3.63871,3.93361,1.71148,0.00010908,0.00010908,0.00010908
2,681.037,1.64476,3.93449,2.59029,1.72481,0.66105,0.2423,0.17695,0.10695,0.6281,0.21407,0.14248,0.07982,1.53741,4.02753,3.24496,1.64651,0.00022275,0.00022275,0.00022275
3,975.798,1.60683,3.67367,2.2828,1.64416,0.33798,0.34829,0.22955,0.13382,0.29716,0.21461,0.1318,0.07407,1.41724,3.72345,4.3244,1.67072,0.000331741,0.000331741,0.000331741
4,1262.79,1.53374,3.34416,2.19052,1.66285,0.22295,0.25958,0.19034,0.131,0.11267,0.21384,0.11428,0.06925,1.50421,3.61963,3.42541,1.65949,0.000436053,0.000436053,0.000436053
5,1549.98,1.6802,3.5251,2.2743,1.6785,0.49445,0.1661,0.16423,0.1101,0.47184,0.15589,0.12977,0.07454,1.40114,4.01954,4.84441,1.58613,0.000535685,0.000535685,0.000535685
6,1836.72,1.65661,3.64606,2.12789,1.70423,0.49504,0.18427,0.13646,0.09108,0.47502,0.16859,0.13941,0.06942,1.52921,4.1183,5.42634,1.68971,0.000630637,0.000630637,0.000630637
7,2121.89,1.60374,3.53633,2.05208,1.66095,0.25165,0.25652,0.17618,0.09771,0.2252,0.21525,0.15794,0.07121,1.77002,3.62811,4.62465,1.81767,0.00072091,0.00072091,0.00072091
8,2407.57,1.62566,3.43763,2.04537,1.69883,0.36142,0.20136,0.24236,0.15404,0.37198,0.1569,0.20906,0.11476,1.61914,3.57039,3.72192,1.68927,0.000783013,0.000783013,0.000783013
9,2692.07,1.61269,3.43219,2.07039,1.76124,0.18959,0.35422,0.18255,0.10755,0.35403,0.15012,0.16024,0.072,1.79613,3.75252,3.14644,1.85293,0.000765014,0.000765014,0.000765014
10,2986.35,1.51428,3.15663,1.8177,1.58348,0.26287,0.34219,0.22668,0.1372,0.21649,0.26155,0.18607,0.09392,1.6753,3.64937,2.85638,1.80082,0.000747016,0.000747016,0.000747016
11,3272.97,1.62868,3.44757,2.05803,1.69032,0.35633,0.27959,0.24895,0.13338,0.20989,0.24649,0.19309,0.10839,1.71445,3.61163,3.39369,1.86304,0.000729018,0.000729018,0.000729018
12,3554.23,1.59201,3.46367,1.90443,1.70628,0.24704,0.34861,0.2615,0.1455,0.17712,0.2986,0.19133,0.10524,1.62599,3.82528,2.69115,1.82685,0.00071102,0.00071102,0.00071102
13,3838.06,1.49202,3.41607,1.8543,1.62499,0.41407,0.25927,0.2669,0.16821,0.37668,0.24172,0.21687,0.11329,1.60585,3.66512,2.799,1.73719,0.000693022,0.000693022,0.000693022
14,4123.02,1.51613,3.21671,1.79027,1.66987,0.56591,0.22137,0.26255,0.16774,0.62138,0.18878,0.21018,0.12496,1.50892,3.07621,2.19648,1.64503,0.000675023,0.000675023,0.000675023
15,4406.64,1.51898,3.23158,1.78309,1.63224,0.32455,0.34841,0.25038,0.14713,0.42638,0.20638,0.2118,0.10372,1.68556,3.35482,2.51805,1.8283,0.000657025,0.000657025,0.000657025
16,4693.11,1.4627,3.09967,1.71998,1.59249,0.33057,0.35077,0.275,0.1632,0.46199,0.24388,0.24477,0.11791,1.52886,3.18739,2.35219,1.71058,0.000639027,0.000639027,0.000639027
17,4979.6,1.50516,3.05775,1.58507,1.55088,0.57051,0.26421,0.31326,0.1827,0.52476,0.24259,0.24388,0.12323,1.4593,3.09922,2.3278,1.60095,0.000621029,0.000621029,0.000621029
18,5266.16,1.4879,3.06285,1.53393,1.55822,0.50148,0.32488,0.34659,0.20463,0.50879,0.30754,0.28605,0.13819,1.48015,3.16953,2.16594,1.57812,0.000603031,0.000603031,0.000603031
19,5549.53,1.4672,3.2658,1.53033,1.55551,0.31267,0.32484,0.33372,0.19466,0.54975,0.2466,0.28306,0.14928,1.44675,3.16675,2.07861,1.56773,0.000585032,0.000585032,0.000585032
20,5847.63,1.48382,3.14897,1.50138,1.55085,0.45701,0.348,0.34532,0.21319,0.42751,0.32589,0.29474,0.16934,1.43453,2.89479,2.00842,1.56308,0.000567034,0.000567034,0.000567034
21,6132.31,1.36722,2.95902,1.44737,1.51932,0.51091,0.30533,0.3172,0.19998,0.52837,0.31088,0.26531,0.16541,1.44322,2.82666,2.00828,1.57274,0.000549036,0.000549036,0.000549036
22,6415.98,1.44557,3.0433,1.53015,1.54739,0.41534,0.37192,0.32704,0.20357,0.39672,0.33733,0.27841,0.16124,1.49561,2.92645,1.92835,1.6279,0.000531038,0.000531038,0.000531038
23,6698.66,1.39572,2.93202,1.40485,1.49526,0.45286,0.35136,0.33884,0.21377,0.4941,0.31942,0.31121,0.17212,1.50721,2.84407,2.00359,1.62329,0.00051304,0.00051304,0.00051304
24,6989.62,1.34188,2.76921,1.34079,1.46191,0.34805,0.45871,0.38626,0.23129,0.58412,0.30884,0.32187,0.18879,1.4589,2.72056,1.98799,1.56437,0.000495041,0.000495041,0.000495041
25,7276.53,1.42795,2.99143,1.3594,1.54322,0.49074,0.42683,0.36178,0.2106,0.48622,0.41651,0.35283,0.17523,1.44797,2.62397,2.03865,1.55684,0.000477043,0.000477043,0.000477043
26,7562.43,1.3167,2.76399,1.26581,1.42924,0.47493,0.37703,0.35948,0.20912,0.50232,0.39757,0.34744,0.18194,1.42965,2.63426,2.04051,1.54411,0.000459045,0.000459045,0.000459045
27,7845.27,1.27977,2.7488,1.25845,1.43511,0.42782,0.34501,0.32205,0.195,0.42296,0.35669,0.30273,0.16307,1.38612,2.66523,1.9256,1.522,0.000441047,0.000441047,0.000441047
28,8126.72,1.26288,2.67636,1.24163,1.4117,0.42378,0.38425,0.33575,0.20913,0.44731,0.36033,0.33115,0.17063,1.42552,2.76504,1.83672,1.5479,0.000423049,0.000423049,0.000423049
29,8407.43,1.249,2.64526,1.20583,1.41966,0.36543,0.37369,0.32315,0.19559,0.35882,0.36084,0.29206,0.15303,1.45205,2.85545,1.80339,1.55652,0.00040505,0.00040505,0.00040505
30,8693.49,1.30938,2.66129,1.23461,1.43201,0.26856,0.42682,0.36251,0.1945,0.33332,0.28677,0.27322,0.14203,1.47627,2.80967,1.72248,1.57352,0.000387052,0.000387052,0.000387052
31,8977.33,1.23796,2.61517,1.18302,1.39977,0.42802,0.39269,0.39706,0.23179,0.37986,0.37336,0.32356,0.19215,1.41127,2.44292,1.69158,1.53508,0.000369054,0.000369054,0.000369054
32,9276.13,1.23334,2.63575,1.13512,1.40127,0.53235,0.40868,0.41625,0.25083,0.49162,0.37931,0.35241,0.2008,1.33104,2.39893,1.6204,1.46832,0.000351056,0.000351056,0.000351056
33,9565.57,1.23913,2.6402,1.14327,1.42561,0.43324,0.41259,0.38642,0.25818,0.4707,0.41387,0.37886,0.21742,1.30563,2.50231,1.6258,1.46615,0.000333058,0.000333058,0.000333058
34,9851.03,1.25654,2.71025,1.12888,1.40509,0.3958,0.44836,0.36744,0.24233,0.5533,0.33509,0.35823,0.20072,1.30459,2.5011,1.6066,1.44852,0.000315059,0.000315059,0.000315059
35,10133,1.20521,2.54226,1.13601,1.42876,0.51626,0.37261,0.38983,0.24146,0.48213,0.28243,0.3242,0.19866,1.39884,2.49898,1.60546,1.53212,0.000297061,0.000297061,0.000297061
36,10417.1,1.1331,2.43801,1.02568,1.33319,0.44073,0.4004,0.40009,0.26165,0.42902,0.39526,0.37923,0.21693,1.3826,2.43526,1.62266,1.53777,0.000279063,0.000279063,0.000279063
37,10701.6,1.32162,2.71332,1.14036,1.42821,0.52186,0.36974,0.40986,0.26823,0.51483,0.37023,0.39177,0.22607,1.37305,2.44713,1.67375,1.51981,0.000261065,0.000261065,0.000261065
38,11018.2,1.15361,2.51033,1.02477,1.3461,0.46487,0.41565,0.38868,0.26384,0.45111,0.40413,0.37169,0.2203,1.34474,2.51201,1.69103,1.47245,0.000243067,0.000243067,0.000243067
39,11341.7,1.18322,2.5459,1.09142,1.38378,0.53204,0.36772,0.37854,0.25481,0.58682,0.37883,0.36781,0.20793,1.29572,2.46955,1.65902,1.42979,0.000225068,0.000225068,0.000225068
40,11633,1.11162,2.42697,0.9902,1.33868,0.54452,0.35504,0.37008,0.25177,0.47863,0.348,0.3399,0.20224,1.28024,2.47322,1.65444,1.42561,0.00020707,0.00020707,0.00020707
41,11913.8,1.19579,2.61081,1.19725,1.43274,0.50679,0.37545,0.35158,0.24369,0.53977,0.37783,0.34664,0.19047,1.32063,2.55519,1.66413,1.45569,0.000189072,0.000189072,0.000189072
42,12192.4,1.11954,2.35484,1.05243,1.40039,0.49291,0.35063,0.33578,0.22248,0.41684,0.35487,0.29631,0.17361,1.35886,2.64061,1.72836,1.48736,0.000171074,0.000171074,0.000171074
43,12472.6,1.18415,2.43074,1.1055,1.42918,0.50762,0.30595,0.33138,0.22227,0.54397,0.29014,0.30294,0.17095,1.3676,2.73495,1.73953,1.50296,0.000153076,0.000153076,0.000153076
44,12750.8,1.27868,2.50161,1.17855,1.5256,0.42564,0.47165,0.3423,0.22451,0.44356,0.39615,0.31433,0.17701,1.37303,2.69203,1.72444,1.48962,0.000135077,0.000135077,0.000135077
45,13029.1,1.04207,2.20699,0.95223,1.35834,0.40846,0.45778,0.34731,0.22475,0.39953,0.38396,0.31593,0.17608,1.37668,2.65949,1.72538,1.48813,0.000117079,0.000117079,0.000117079
46,13309.8,0.98412,2.19684,0.86905,1.29453,0.34663,0.4148,0.33589,0.22108,0.39984,0.39922,0.31989,0.17767,1.31808,2.64568,1.74319,1.45578,9.9081e-05,9.9081e-05,9.9081e-05
47,13601.7,1.17308,2.37846,1.0849,1.44645,0.31369,0.45114,0.32808,0.21529,0.58331,0.32509,0.32556,0.1812,1.31375,2.64389,1.74479,1.45633,8.10828e-05,8.10828e-05,8.10828e-05
48,13882.3,1.06421,2.19855,0.92378,1.35139,0.35267,0.46105,0.33851,0.22109,0.42808,0.40867,0.33796,0.18567,1.31797,2.66917,1.73693,1.46397,6.30846e-05,6.30846e-05,6.30846e-05
49,14171.8,1.05714,2.30168,0.95354,1.35009,0.36286,0.4356,0.36292,0.2349,0.55099,0.39317,0.3598,0.19302,1.33903,2.66191,1.71161,1.48099,4.50864e-05,4.50864e-05,4.50864e-05
50,14454.7,1.17455,2.47612,0.98217,1.41093,0.3779,0.44798,0.36936,0.23678,0.57153,0.38225,0.35941,0.19519,1.34198,2.66533,1.70314,1.48765,2.70882e-05,2.70882e-05,2.70882e-05
