epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.589,1.20348,2.58851,1.147,1.36798,0.36218,0.38158,0.34233,0.23297,0.48787,0.31063,0.33249,0.19235,1.33394,2.39565,1.79028,1.47914,0.00010908,0.00010908,0.00010908
2,343.018,1.14512,2.49489,1.10606,1.36266,0.31789,0.39664,0.32184,0.21244,0.32706,0.36361,0.29668,0.16786,1.41902,2.54171,1.72519,1.54052,0.00022275,0.00022275,0.00022275
3,520.077,1.13141,2.48026,1.03737,1.33117,0.41622,0.40947,0.36069,0.24205,0.30654,0.35612,0.28891,0.16207,1.41376,2.87509,1.75152,1.55637,0.000331741,0.000331741,0.000331741
4,693.541,1.08762,2.31863,1.07797,1.36495,0.37215,0.38827,0.34401,0.22193,0.44418,0.29745,0.3341,0.17073,1.46132,3.18836,1.82622,1.57834,0.000436053,0.000436053,0.000436053
5,869.869,1.2864,2.59609,1.23941,1.40915,0.50126,0.36387,0.42274,0.25529,0.36164,0.33527,0.33815,0.17485,1.48664,2.96454,2.02696,1.55385,0.000535685,0.000535685,0.000535685
6,1046.67,1.29162,2.78644,1.23854,1.45097,0.49173,0.34669,0.37398,0.225,0.46545,0.33048,0.37058,0.17574,1.47516,2.67088,1.8866,1.58008,0.000630637,0.000630637,0.000630637
7,1222.52,1.22568,2.68222,1.27811,1.39174,0.36629,0.41819,0.33842,0.20634,0.52242,0.37144,0.35441,0.17609,1.50813,2.75745,1.81769,1.61776,0.00072091,0.00072091,0.00072091
8,1398.44,1.24987,2.63971,1.21552,1.41376,0.45651,0.37081,0.36825,0.22052,0.3764,0.37198,0.31632,0.17294,1.48816,2.83876,1.9471,1.60281,0.000783013,0.000783013,0.000783013
9,1573.08,1.21398,2.6599,1.29568,1.4729,0.46566,0.3901,0.34407,0.2242,0.38606,0.34628,0.29881,0.16538,1.45125,2.80716,1.82325,1.57664,0.000765014,0.000765014,0.000765014
10,1749.58,1.18425,2.41907,1.12235,1.33866,0.45586,0.36452,0.34602,0.22094,0.38784,0.33299,0.30754,0.15587,1.45426,2.96474,1.86131,1.56957,0.000747016,0.000747016,0.000747016
